,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
0,50002,1,1,1,1.0,49,0,560,0,80,1.0,6
1,50002,1,2,1,1.0,49,380,450,10,0,1.0,6
2,50003,1,1,2,2.0,41,0,470,30,100,1.0,5
3,50003,1,2,2,2.0,41,0,550,0,0,1.0,5
4,50004,2,1,1,1.0,62,640,410,0,0,1.0,7
5,50004,2,2,1,1.0,62,0,550,72,108,1.0,7
8,50006,1,1,2,2.0,33,0,540,0,90,1.0,4
9,50006,1,2,2,2.0,33,0,530,62,0,1.0,4
10,50014,2,1,1,1.0,56,0,540,160,0,1.0,7
11,50014,2,2,1,1.0,56,0,440,62,0,1.0,7
13,50017,1,1,1,2.0,57,0,420,150,0,1.0,7
14,50017,1,2,1,2.0,57,0,510,41,108,1.0,7
15,50020,1,1,2,2.0,34,0,520,0,0,1.0,4
16,50020,1,2,2,2.0,34,0,290,0,0,1.0,4
17,50028,1,1,2,1.0,38,0,630,30,120,1.0,5
18,50028,1,2,2,1.0,38,440,460,0,156,1.0,5
19,50030,1,1,1,2.0,53,430,340,0,0,1.0,6
20,50030,1,2,1,2.0,53,0,570,72,0,1.0,6
21,50031,1,1,2,3.0,62,0,415,120,70,2.0,7
22,50031,1,2,2,3.0,62,0,625,31,0,2.0,7
23,50034,1,1,2,1.0,48,440,530,50,0,1.0,6
24,50034,1,2,2,1.0,48,0,590,62,0,1.0,6
25,50050,1,1,2,1.0,63,0,480,100,70,1.0,7
26,50050,1,2,2,1.0,63,420,420,93,132,1.0,7
27,50053,2,1,1,1.0,74,0,560,20,0,1.0,8
28,50053,2,2,1,1.0,74,0,520,31,120,1.0,8
29,50059,2,1,2,1.0,44,0,610,10,90,2.0,5
30,50059,2,2,2,1.0,44,0,580,93,0,2.0,5
31,50061,1,1,1,1.0,61,0,480,30,130,2.0,7
32,50061,1,2,1,1.0,61,0,550,0,168,2.0,7
33,50065,1,1,2,1.0,66,0,600,30,0,1.0,8
34,50065,1,2,2,1.0,66,0,600,0,0,1.0,8
35,50085,2,1,2,1.0,57,0,550,90,0,1.0,7
36,50085,2,2,2,1.0,57,0,530,113,120,1.0,7
37,50090,2,1,1,3.0,67,0,565,0,100,1.0,8
38,50090,2,2,1,3.0,67,0,505,0,120,1.0,8
39,50098,1,1,2,1.0,53,0,500,50,0,2.0,6
40,50098,1,2,2,1.0,53,400,530,0,120,2.0,6
41,50101,1,1,1,1.0,51,0,610,0,0,1.0,6
42,50101,1,2,1,1.0,51,0,590,21,0,1.0,6
43,50111,2,1,1,2.0,61,0,470,40,0,1.0,7
44,50111,2,2,1,2.0,61,0,590,31,0,1.0,7
45,50114,2,1,2,1.0,37,0,570,60,0,1.0,5
46,50114,2,2,2,1.0,37,0,420,10,120,1.0,5
47,50115,1,1,2,1.0,58,0,510,60,0,2.0,7
48,50115,1,2,2,1.0,58,0,510,144,0,2.0,7
49,50118,1,1,2,1.0,61,0,620,150,0,1.0,7
50,50118,1,2,2,1.0,61,0,520,52,0,1.0,7
51,50120,1,1,2,2.0,30,0,590,0,0,1.0,4
52,50120,1,2,2,2.0,30,90,470,10,0,1.0,4
53,50127,1,1,2,1.0,31,240,470,60,100,1.0,4
54,50127,1,2,2,1.0,31,400,440,0,0,1.0,4
55,50128,2,1,2,1.0,64,430,350,10,70,2.0,7
56,50128,2,2,2,1.0,64,0,520,31,0,2.0,7
57,50132,2,1,2,2.0,66,0,400,70,120,2.0,8
58,50132,2,2,2,2.0,66,0,640,31,120,2.0,8
60,50137,2,1,2,3.0,25,0,495,0,0,2.0,4
61,50137,2,2,2,3.0,25,0,685,21,108,2.0,4
62,50146,2,1,1,2.0,64,440,430,0,0,1.0,7
63,50146,2,2,1,2.0,64,0,480,72,0,1.0,7
64,50151,1,1,1,1.0,25,630,310,0,110,2.0,4
65,50151,1,2,1,1.0,25,530,370,41,96,2.0,4
66,50157,2,1,1,3.0,51,0,475,30,0,1.0,6
67,50157,2,2,1,3.0,51,0,755,72,120,1.0,6
